#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
aof;Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044);mame;;1992;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);mame;aof2;1994;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);;4;;;0;;1
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);mame;;1994;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);mame;aof3;1996;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;;4;;;0;;1
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;mame;;1996;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
asndynmt;Asian Dynamite / Dynamite Deka EX;mame;;2007;Sega;Fighter / 3D;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;naomi;NAOMI BIOS;;6;;;0;;1
asndynmto;Asian Dynamite / Dynamite Deka EX (older);mame;asndynmt;2007;Sega;Fighter / 3D;2P sim;0;joystick (8-way),joystick (8-way);preliminary;1;raster;asndynmt;Asian Dynamite / Dynamite Deka EX;;6;;;0;;1
asterixaad;Asterix (ver AAD);mame;asterix;1992;Konami;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asterix;Asterix (ver EAD);;2;;;0;;1
asterixeaa;Asterix (ver EAA);mame;asterix;1992;Konami;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asterix;Asterix (ver EAD);;2;;;0;;1
asterixeac;Asterix (ver EAC);mame;asterix;1992;Konami;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asterix;Asterix (ver EAD);;2;;;0;;1
asterix;Asterix (ver EAD);mame;;1992;Konami;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
asterixj;Asterix (ver JAD);mame;asterix;1992;Konami;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asterix;Asterix (ver EAD);;2;;;0;;1
astrass;Astra SuperStars (J 980514 V1.002);mame;;1998;Sunsoft;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;stvbios;ST-V Bios;;6;;;0;;1
asurabld;Asura Blade - Sword of Dynasty (Japan);mame;;1998;Fuuki;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
asurabusj;Asura Buster - Eternal Warriors (Japan, set 1);mame;asurabus;2000;Fuuki;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asurabus;Asura Buster - Eternal Warriors (USA);;3;;;0;;1
asurabusja;Asura Buster - Eternal Warriors (Japan, set 2);mame;asurabus;2000;Fuuki;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asurabus;Asura Buster - Eternal Warriors (USA);;3;;;0;;1
asurabusjr;Asura Buster - Eternal Warriors (Japan) (ARCADIA review build);mame;asurabus;2000;Fuuki;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;asurabus;Asura Buster - Eternal Warriors (USA);;4;;;0;;1
asurabus;Asura Buster - Eternal Warriors (USA);mame;;2001;Fuuki;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
avengersa;Avengers (US, revision A);mame;avengers;1987;Capcom;Fighter / Vertical;2P sim;90;joystick (8-way),joystick (8-way);good;1;raster;avengers;Avengers (US, revision C);;2;;;0;;1
avengers;Avengers (US, revision C);mame;;1987;Capcom;Fighter / Vertical;2P sim;90;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
avengersc;Avengers (US, unknown revision);mame;avengers;1987;Capcom;Fighter / Vertical;2P sim;90;joystick (8-way),joystick (8-way);good;1;raster;avengers;Avengers (US, revision C);;2;;;0;;1
avengersb;Avengers (US);mame;avengers;1987;Capcom;Fighter / Vertical;2P sim;90;joystick (8-way),joystick (8-way);good;1;raster;avengers;Avengers (US, revision C);;2;;;0;;1
avengrgsj;Avengers In Galactic Storm (Japan 1.2);mame;avengrgs;1995;Data East Corporation;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;avengrgs;Avengers In Galactic Storm (US/Europe 1.0);;4;;;0;;1
avengrgs;Avengers In Galactic Storm (US/Europe 1.0);mame;;1995;Data East Corporation;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
brapboys;B.Rap Boys (World);mame;;1992;Kaneko;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
brapboyspj;B.Rap Boys Special (Japan);mame;brapboys;1992;Kaneko;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;brapboys;B.Rap Boys (World);;2;;;0;;1
brapboyspu;B.Rap Boys Special (US);mame;brapboys;1992;Kaneko;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;brapboys;B.Rap Boys (World);;2;;;0;;1
brapboysp;B.Rap Boys Special (World, newer);mame;brapboys;1992;Kaneko;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;brapboys;B.Rap Boys (World);;2;;;0;;1
brapboysp2;B.Rap Boys Special (World, older);mame;brapboys;1992;Kaneko;Fighter / 2.5D;3;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;brapboys;B.Rap Boys (World);;2;;;0;;1
barekch;Bare Knuckle (Chinese bootleg of Mega Drive version);mame;;1994;bootleg;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
barek2mb;Bare Knuckle II (bootleg of Mega Drive version);mame;;1994;bootleg / Sega;Fighter / 2.5D;1P;0;joystick (8-way);preliminary;1;raster;;;;3;;;0;;1
barek2ch;Bare Knuckle II (Chinese bootleg of Mega Drive version);mame;;1994;bootleg;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
barek3mb;Bare Knuckle III (bootleg of Mega Drive version);mame;;1994;bootleg / Sega;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
batmanfr;Batman Forever (JUE 960507 V1.000);mame;;1996;Acclaim;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;stvbios;ST-V Bios;;3;;;0;;1
ts2;Battle Arena Toshinden 2 (Euro 951124);mame;;1995;Capcom / Takara;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;coh1000c;ZN1;;6;;;0;;1
ts2ja;Battle Arena Toshinden 2 (Japan 951124, 32Mb mask ROMs);mame;ts2;1995;Capcom / Takara;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;ts2;Battle Arena Toshinden 2 (Euro 951124);;6;;;0;;1
ts2j;Battle Arena Toshinden 2 (Japan 951124);mame;ts2;1995;Capcom / Takara;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;ts2;Battle Arena Toshinden 2 (Euro 951124);;6;;;0;;1
ts2ua;Battle Arena Toshinden 2 (USA 951124, 32Mb mask ROMs);mame;ts2;1995;Capcom / Takara;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;ts2;Battle Arena Toshinden 2 (Euro 951124);;6;;;0;;1
ts2u;Battle Arena Toshinden 2 (USA 951124);mame;ts2;1995;Capcom / Takara;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;ts2;Battle Arena Toshinden 2 (Euro 951124);;6;;;0;;1
batcira;Battle Circuit (Asia 970319);mame;batcir;1997;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;batcir;Battle Circuit (Euro 970319);;2;;;0;;1
batcird;Battle Circuit (Euro 970319 Phoenix Edition) (bootleg);mame;batcir;1997;bootleg;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;batcir;Battle Circuit (Euro 970319);;2;;;0;;1
batcir;Battle Circuit (Euro 970319);mame;;1997;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
batcirj;Battle Circuit (Japan 970319);mame;batcir;1997;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;batcir;Battle Circuit (Euro 970319);;2;;;0;;1
btlkroad;Battle K-Road;mame;;1994;Psikyo;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;6;;;0;;1
btlkroadk;Battle K-Road (Korea);mame;btlkroad;1994;Psikyo;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;btlkroad;Battle K-Road;;6;;;0;;1
btltryst;Battle Tryst (ver JAC);mame;;1998;Konami;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;chd;3;;;0;;1
battlcryp;Battlecry (Prototype);mame;battlcry;1989;Home Data;Fighter / 2D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;battlcry;Battlecry (Version E);;3;;;0;;1
battlcryc;Battlecry (Version C);mame;battlcry;1989;Home Data;Fighter / 2D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;battlcry;Battlecry (Version E);;3;;;0;;1
battlcry;Battlecry (Version E);mame;;1991;Home Data;Fighter / 2D;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
btoads;Battletoads;mame;;1994;Rare / Electronic Arts;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
beastrzrb;Beastorizer (USA bootleg);mame;beastrzr;1997;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;beastrzr;Beastorizer (USA, Sep 22 1997);;3;;;0;;1
beastrzra;Beastorizer (USA, Jun 21 1997);mame;beastrzr;1997;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;beastrzr;Beastorizer (USA, Sep 22 1997);;3;;;0;;1
beastrzr;Beastorizer (USA, Sep 22 1997);mame;;1997;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002e;PS Arcade 95;;3;;;0;;1
bestbest;Best Of Best;mame;;1994;SunA;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;0;;1
bkungfu;Beyond Kung-Fu (location test);mame;;1987;Irem;Fighter / 2D;2P alt;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;2;;;0;;1
punisherbz;Biaofeng Zhanjing (Chinese bootleg of The Punisher);mame;punisher;1993;bootleg;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;punisher;The Punisher (World 930422);;3;;;0;;1
bigfight;Big Fight - Big Trouble In The Atlantic Ocean;mame;;1992;Tatsumi;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
bigfightj;Big Fight - Big Trouble In The Atlantic Ocean (Japan, rev F);mame;bigfight;1992;Tatsumi;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;bigfight;Big Fight - Big Trouble In The Atlantic Ocean;;3;;;0;;1
biofreak;Bio F.R.E.A.K.S (prototype, boot ROM 0.1i);mame;;1997;Midway Games;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;chd;6;;;0;;1
sailormnoh;Bishoujo Senshi Sailor Moon (Version 95/03/21, Hong Kong);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnoj;Bishoujo Senshi Sailor Moon (Version 95/03/21, Japan);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnot;Bishoujo Senshi Sailor Moon (Version 95/03/21, Taiwan);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnnh;Bishoujo Senshi Sailor Moon (Version 95/03/22, Hong Kong);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnnj;Bishoujo Senshi Sailor Moon (Version 95/03/22, Japan);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnnt;Bishoujo Senshi Sailor Moon (Version 95/03/22, Taiwan);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnh;Bishoujo Senshi Sailor Moon (Version 95/03/22B, Hong Kong);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnj;Bishoujo Senshi Sailor Moon (Version 95/03/22B, Japan);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
sailormnt;Bishoujo Senshi Sailor Moon (Version 95/03/22B, Taiwan);mame;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sailormn;Pretty Soldier Sailor Moon (Version 95/03/22B, Europe);;3;;;0;;1
blackt96;Black Touch '96;mame;;1996;D.G.R.M.;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
bmaster;Blade Master (World);mame;;1991;Irem;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
blandia;Blandia;mame;;1992;Allumer;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
blandiap;Blandia (prototype);mame;blandia;1992;Allumer;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;blandia;Blandia;;3;;;0;;1
bloodstm104;Blood Storm (v1.04);mame;bloodstm;1994;Strata/Incredible Technologies;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;bloodstm;Blood Storm (v2.22);;5;;;0;;1
bloodstm110;Blood Storm (v1.10);mame;bloodstm;1994;Strata/Incredible Technologies;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;bloodstm;Blood Storm (v2.22);;5;;;0;;1
bloodstm210;Blood Storm (v2.10);mame;bloodstm;1994;Strata/Incredible Technologies;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;bloodstm;Blood Storm (v2.22);;5;;;0;;1
bloodstm220;Blood Storm (v2.20);mame;bloodstm;1994;Strata/Incredible Technologies;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;bloodstm;Blood Storm (v2.22);;5;;;0;;1
bloodstm221;Blood Storm (v2.21);mame;bloodstm;1994;Strata/Incredible Technologies;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;bloodstm;Blood Storm (v2.22);;5;;;0;;1
bloodstm;Blood Storm (v2.22);mame;;1994;Strata/Incredible Technologies;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;5;;;0;;1
bloodwar;Blood Warrior;mame;;1994;Kaneko;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
bldyroar;Bloody Roar (Japan, Jun 21 1997);mame;beastrzr;1997;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;beastrzr;Beastorizer (USA, Sep 22 1997);;3;;;0;;1
bldyror2a;Bloody Roar 2 (Asia);mame;bldyror2;1998;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;bldyror2;Bloody Roar 2 (World);;4;;;0;;1
bldyror2j;Bloody Roar 2 (Japan);mame;bldyror2;1998;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;bldyror2;Bloody Roar 2 (World);;4;;;0;;1
bldyror2u;Bloody Roar 2 (USA);mame;bldyror2;1998;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;bldyror2;Bloody Roar 2 (World);;4;;;0;;1
bldyror2;Bloody Roar 2 (World);mame;;1998;Eighting / Raizing;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002e;PS Arcade 95;;4;;;0;;1
bldyr3b;Bloody Roar 3 (bootleg);mame;;2001;bootleg;Fighter / Versus;2P sim;0;;preliminary;1;raster;sys246;System 246 BIOS;chd;0;;;0;;1
bntyhunt;Bounty Hunter (GCTech Co., LTD);mame;;200?;GCTech Co., LTD;Fighter / Misc.;0;0;;preliminary;1;raster;;;chd;0;;;0;;1
breakers;Breakers;mame;;1996;Visco;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
breakrev;Breakers Revenge;mame;;1998;Visco;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
brutforc;Brute Force;mame;;1991;Leland Corporation;Fighter / Field;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
buccanrs;Buccaneers (set 1);mame;;1989;Duintronic;Fighter / 2D;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
buccanrsa;Buccaneers (set 2);mame;buccanrs;1989;Duintronic;Fighter / 2D;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;buccanrs;Buccaneers (set 1);;2;;;0;;1
buccanrsb;Buccaneers (set 3, harder);mame;buccanrs;1989;Duintronic;Fighter / 2D;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;buccanrs;Buccaneers (set 1);;2;;;0;;1
buriki;Buriki One: World Grapple Tournament '99 in Tokyo (rev.B);mame;;1999;SNK;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;hng64;Hyper NeoGeo 64 Bios;;4;;;0;;1
burningfh;Burning Fight (NGH-018, US);mame;burningf;1991;SNK;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;burningf;Burning Fight (NGM-018 ~ NGH-018);;4;;;0;;1
burningf;Burning Fight (NGM-018 ~ NGH-018);mame;;1991;SNK;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
burningfpa;Burning Fight (prototype, near final, ver 23.3, 910326);mame;burningf;1991;SNK;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;burningf;Burning Fight (NGM-018 ~ NGH-018);;4;;;0;;1
burningfpb;Burning Fight (prototype, newer, V07);mame;burningf;1991;SNK;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;burningf;Burning Fight (NGM-018 ~ NGH-018);;4;;;0;;1
burningfp;Burning Fight (prototype, older);mame;burningf;1991;SNK;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;burningf;Burning Fight (NGM-018 ~ NGH-018);;4;;;0;;1
brivalj;Burning Rival (Japan);mame;brival;1992;Sega;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;brival;Burning Rival (World);;6;;;0;;1
brival;Burning Rival (World);mame;;1992;Sega;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;6;;;0;;1
dinoa;Cadillacs and Dinosaurs (Asia TW 930223);mame;dino;1993;Capcom;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;dino;Cadillacs and Dinosaurs (World 930201);;2;;;0;;1
