#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
neogeo;Neo-Geo MV-6F;mame;;1990;SNK;System / BIOS;BIOS;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
2020bba;2020 Super Baseball (set 2);mame;2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;2020bb;2020 Super Baseball (set 1);;4;;;0;;1
2020bbh;2020 Super Baseball (set 3);mame;2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;2020bb;2020 Super Baseball (set 1);;4;;;0;;1
280zzzap;280-ZZZAP;mame;;1976;Dave Nutting Associates / Midway;Driving / 1st Person;1P;0;paddle,pedal;good;1;raster;;;;1;;;0;;1
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);mame;;1993;SNK;Sports / Wrestling;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);mame;;1996;Video System Co.;Sports / Basketball;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
bowl3d;3-D Bowling;mame;;1978;Meadows Games, Inc.;Sports / Bowling;2P alt;90;joystick (2-way),joystick (2-way);preliminary;1;raster;;;;4;;;0;;1
tceptor2;3-D Thunder Ceptor II;mame;tceptor;1986;Namco;Shooter / Flying (chase view);1P;0;joystick (analog),pedal;good;1;raster;tceptor;Thunder Ceptor;;4;;;0;;1
39in1;39 in 1 MAME bootleg (GNO-V000);mame;;2004;bootleg;MultiGame / Compilation;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
3x3puzzl;3X3 Puzzle (Enterprise);mame;;1998;Ace Enterprise;Puzzle / Match;1P;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
3x3puzzla;3X3 Puzzle (Normal);mame;3x3puzzl;1998;Ace Enterprise;Puzzle / Match;1P;0;joystick (8-way),joystick (8-way);good;1;raster;3x3puzzl;3X3 Puzzle (Enterprise);;2;;;0;;1
4enraya;4 En Raya (set 1);mame;;1990;IDSA;Puzzle / Match;2P sim;0;joystick (2-way),joystick (2-way);good;1;raster;;;;2;;;0;;1
4enrayaa;4 En Raya (set 2);mame;4enraya;1990;IDSA;Puzzle / Match;2P alt;0;joystick (2-way),joystick (2-way);good;1;raster;4enraya;4 En Raya (set 1);;2;;;0;;1
4in1;4 Fun in 1;mame;;1981;Armenia / Food and Fun;MultiGame / Compilation;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1;;;0;;1
4in1b;4 in 1 MAME bootleg (PLZ-V001);mame;39in1;2004;bootleg;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
4in1a;4 in 1 MAME bootleg (ver 3.00, PLZ-V014);mame;39in1;2004;bootleg;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
4dwarrio;4-D Warriors (315-5162);mame;;1985;Coreland / Sega;Shooter / Flying Horizontal;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
48in1a;48 in 1 MAME bootleg (ver 3.02, HPH-V000);mame;39in1;2004;bootleg;MultiGame / Compilation;2P alt;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
48in1c;48 in 1 MAME bootleg (ver 3.08, HPH-V000);mame;39in1;2004;bootleg;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
48in1b;48 in 1 MAME bootleg (ver 3.09, HPH-V000, alt flash);mame;39in1;2004;bootleg;MultiGame / Compilation;2P alt;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
48in1;48 in 1 MAME bootleg (ver 3.09, HPH-V000);mame;39in1;2004;bootleg;MultiGame / Compilation;2P alt;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
500gp;500 GP (US, 5GP3 Ver. C);mame;;1998;Namco;Driving / Motorbike;2;0;joystick (2-way),joystick (analog),pedal,joystick (2-way);preliminary;1;raster;;;;3;;;0;;1
60in1;60 in 1 MAME bootleg (ver 3.00, ICD-V000);mame;39in1;2004;bootleg;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
600;600;mame;turtles;1981;Konami;Maze / Collect;2P alt;90;joystick (4-way),joystick (4-way);good;1;raster;turtles;Turtles;;1;;;0;;1
64streetj;64th. Street - A Detective Story (Japan, set 1);mame;64street;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;64street;64th. Street - A Detective Story (World);;2;;;0;;1
64streetja;64th. Street - A Detective Story (Japan, set 2);mame;64street;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;64street;64th. Street - A Detective Story (World);;2;;;0;;1
64street;64th. Street - A Detective Story (World);mame;;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
720gr1;720 Degrees (German, rev 1);mame;720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;720 Degrees (rev 4);;2;;;0;;1
720g;720 Degrees (German, rev 2);mame;720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;720 Degrees (rev 4);;2;;;0;;1
720r1;720 Degrees (rev 1);mame;720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;720 Degrees (rev 4);;2;;;0;;1
720r2;720 Degrees (rev 2);mame;720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;720 Degrees (rev 4);;2;;;0;;1
720r3;720 Degrees (rev 3);mame;720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;720 Degrees (rev 4);;2;;;0;;1
720;720 Degrees (rev 4);mame;;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;;;;2;;;0;;1
800fath;800 Fathoms;mame;mariner;1981;Amenip (US Billiards Inc. license);Shooter / Misc. Horizontal;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;mariner;Mariner;;2;;;0;;1
800fatha;800 Fathoms (older);mame;mariner;1981;Amenip (US Billiards Inc. license);Shooter / Misc. Horizontal;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;mariner;Mariner;;2;;;0;;1
9ballsht;9-Ball Shootout (set 1);mame;;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
9ballsht2;9-Ball Shootout (set 2);mame;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;9ballsht;9-Ball Shootout (set 1);;3;;;0;;1
9ballsht3;9-Ball Shootout (set 3);mame;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;9ballsht;9-Ball Shootout (set 1);;3;;;0;;1
9ballshtc;9-Ball Shootout Championship;mame;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;9ballsht;9-Ball Shootout (set 1);;3;;;0;;1
99bottles;99 Bottles of Beer;mame;gammagic;1999;Bally Gaming Co.;MultiGame / Compilation;1;0;keyboard;preliminary;1;raster;gammagic;Game Magic;chd;103;;;0;;1
mag_day;A Day In Space (31/03/87);mame;;1987;EFO SA / Cedar;Shooter / Flying Horizontal;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;cedmag;Magnet System;;3;;;0;;1
cedmag;Magnet System;mame;;1987;EFO SA / Cedar;System / BIOS;BIOS;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
ad2083;A. D. 2083;mame;;1983;Midcoin;Shooter / Field;2P alt;90;joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
abcopjd;A.B. Cop (Japan) (bootleg of FD1094 317-0169b set);mame;abcop;1990;bootleg;Driving / Motorbike;1P;0;paddle,pedal;good;1;raster;abcop;A.B. Cop (World) (FD1094 317-0169b);;1;;;0;;1
abcopj;A.B. Cop (Japan) (FD1094 317-0169b);mame;abcop;1990;Sega;Driving / Motorbike;1P;0;paddle,pedal;good;1;raster;abcop;A.B. Cop (World) (FD1094 317-0169b);;1;;;0;;1
abcopd;A.B. Cop (World) (bootleg of FD1094 317-0169b set);mame;abcop;1990;bootleg;Driving / Motorbike;1P;0;paddle,pedal;good;1;raster;abcop;A.B. Cop (World) (FD1094 317-0169b);;1;;;0;;1
abcop;A.B. Cop (World) (FD1094 317-0169b);mame;;1990;Sega;Driving / Motorbike;1P;0;paddle,pedal;good;1;raster;;;;1;;;0;;1
ar_argh;Aaargh (Arcadia);mame;;1988;Arcadia Systems;Platform / Fighter;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;ar_bios;Arcadia System BIOS;;2;;;0;;1
ar_bios;Arcadia System BIOS;mame;;1988;Arcadia Systems;System / BIOS;BIOS;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
abscam;Abscam;mame;puckman;1981;GL (US Billiards license);Maze / Collect;2P alt;90;joystick (4-way),joystick (4-way);good;1;raster;puckman;Puck Man (Japan set 1);;0;;;0;;1
ace;Ace;mame;;1976;Allied Leisure;Shooter / Field;2P sim;0;joystick (2-way),joystick (2-way);preliminary;1;raster;;;;1;;;0;;1
aceattac;Ace Attacker (FD1094 317-0059);mame;;1988;Sega;Sports / Volleyball;2P sim;270;positional,trackball,joystick (analog),positional,pedal,trackball,joystick (analog),pedal;good;1;raster;;;;1;;;0;;1
aceattaca;Ace Attacker (Japan, System 16A, FD1094 317-0060);mame;aceattac;1988;Sega;Sports / Volleyball;2P sim;270;positional,trackball,joystick (analog),positional,pedal,trackball,joystick (analog),pedal;good;1;raster;aceattac;Ace Attacker (FD1094 317-0059);;1;;;0;;1
acedrive;Ace Driver: Racing Evolution (World, AD2);mame;;1994;Namco;Driving / Race 1st Person;1P;0;joystick (2-way),paddle,pedal,joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
namcoc74;Namco C74 (M37702);mame;;;;System / Device;Device;0;;good;0;;;;;0;;;0;;1
victlapj;Ace Driver: Victory Lap (Japan, ADV1 Ver.C);mame;victlap;1996;Namco;Driving / Race (chase view);1P;0;joystick (2-way),paddle,pedal,joystick (8-way);imperfect;1;raster;victlap;Ace Driver: Victory Lap (World, ADV2 Ver.B);;4;;;0;;1
victlap;Ace Driver: Victory Lap (World, ADV2 Ver.B);mame;;1996;Namco;Driving / Race (chase view);1P;0;joystick (2-way),paddle,pedal,joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
victlapa;Ace Driver: Victory Lap (World, ADV2);mame;victlap;1996;Namco;Driving / Race (chase view);1P;0;joystick (2-way),paddle,pedal,joystick (8-way);imperfect;1;raster;victlap;Ace Driver: Victory Lap (World, ADV2 Ver.B);;4;;;0;;1
